,host_id,neighbourhood_f,longitude,room_type_f,calculated_host_listings_count,availability_365
62,101053359.0,30.0,-73.92804,1.0,1.0,0.0
63,1366310.0,31.0,-73.91122,0.0,2.0,306.0
64,260383802.0,7.0,-73.99876,1.0,1.0,204.0
65,28025816.0,6.0,-73.95103,0.0,1.0,11.0
66,164847238.0,23.0,-73.99225,0.0,1.0,2.0
67,131392140.0,25.0,-73.92971,1.0,5.0,144.0
68,163749958.0,26.0,-73.97868,2.0,3.0,365.0
69,17896706.0,28.0,-73.95482,1.0,1.0,158.0
70,40429192.0,20.0,-73.949,1.0,1.0,328.0
71,29651191.0,8.0,-73.96187,1.0,1.0,0.0
72,3922831.0,12.0,-73.96265,1.0,1.0,290.0
73,19543830.0,2.0,-73.9531,0.0,1.0,0.0
74,135554944.0,2.0,-73.9441,1.0,1.0,0.0
75,3569392.0,1.0,-73.97787,0.0,1.0,0.0
76,125558761.0,30.0,-73.93095,0.0,1.0,24.0
77,127721863.0,22.0,-73.96343,1.0,1.0,108.0
78,19134246.0,26.0,-73.97934,1.0,1.0,8.0
79,6832892.0,6.0,-73.93879,1.0,1.0,11.0
80,1360043.0,2.0,-73.94567,0.0,1.0,0.0
81,20444038.0,1.0,-73.98255,1.0,1.0,142.0
82,16715941.0,4.0,-73.94266,0.0,2.0,155.0
83,251418685.0,1.0,-73.96986,1.0,1.0,63.0
84,1497427.0,28.0,-73.95967,0.0,2.0,251.0
85,9348961.0,1.0,-73.98233,1.0,1.0,0.0
86,10702860.0,56.0,-73.91765,0.0,1.0,0.0
87,116126452.0,12.0,-73.95341,1.0,1.0,3.0
88,18192996.0,49.0,-73.91693,0.0,2.0,0.0
89,9731301.0,83.0,-73.89113,2.0,1.0,365.0
90,4391441.0,12.0,-73.94918,1.0,1.0,8.0
91,310670.0,58.0,-73.83471,1.0,13.0,348.0
92,1991700.0,43.0,-74.00834,1.0,1.0,0.0
93,35567813.0,12.0,-73.94088,1.0,1.0,35.0
94,6948005.0,6.0,-73.96001,0.0,1.0,0.0
95,15569216.0,8.0,-73.97482,0.0,1.0,94.0
96,6961443.0,1.0,-73.96956,0.0,2.0,0.0
97,2873394.0,21.0,-73.93517,0.0,2.0,296.0
98,3236595.0,2.0,-73.94979,0.0,4.0,9.0
99,44781865.0,3.0,-73.95979,0.0,1.0,0.0
100,50054847.0,15.0,-73.95601,0.0,1.0,0.0
101,1607087.0,15.0,-73.95994,0.0,1.0,0.0
